Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BROOKLYN,2013,18,979,0,336,0,0.0
MANHATTAN,2013,18,854,1,149,1,0.00117096018735363
QUEENS,2013,18,789,1,226,1,0.0012674271229404308
STATEN ISLAND,2013,18,231,0,66,0,0.0
BOROUGH_NOT_SPECIFIED,2013,19,945,1,245,1,0.0010582010582010583
BRONX,2013,19,388,1,123,1,0.002577319587628866
BROOKLYN,2013,19,1018,1,355,1,9.823182711198428E-4
MANHATTAN,2013,19,849,0,160,0,0.0
QUEENS,2013,19,725,1,240,1,0.001379310344827586
STATEN ISLAND,2013,19,198,0,51,0,0.0
BOROUGH_NOT_SPECIFIED,2013,20,901,1,202,1,0.0011098779134295228
BRONX,2013,20,426,2,163,2,0.004694835680751174
BROOKLYN,2013,20,879,1,237,1,0.0011376564277588168
MANHATTAN,2013,20,839,0,137,0,0.0
QUEENS,2013,20,792,2,196,2,0.0025252525252525255
STATEN ISLAND,2013,20,185,0,32,0,0.0
BOROUGH_NOT_SPECIFIED,2013,21,941,1,283,1,0.0010626992561105207
BRONX,2013,21,403,1,89,1,0.0024813895781637717
BROOKLYN,2013,21,989,0,359,0,0.0
MANHATTAN,2013,21,923,0,158,0,0.0
QUEENS,2013,21,834,0,259,0,0.0
STATEN ISLAND,2013,21,206,0,46,0,0.0
BOROUGH_NOT_SPECIFIED,2013,22,942,0,302,0,0.0
BRONX,2013,22,433,0,141,0,0.0
BROOKLYN,2013,22,999,2,304,2,0.002002002002002002
MANHATTAN,2013,22,829,1,121,1,0.0012062726176115801
QUEENS,2013,22,798,1,205,1,0.0012531328320802004
STATEN ISLAND,2013,22,218,0,55,0,0.0
BOROUGH_NOT_SPECIFIED,2013,23,1038,0,319,0,0.0
BRONX,2013,23,451,0,136,0,0.0
BROOKLYN,2013,23,1023,0,334,0,0.0
MANHATTAN,2013,23,874,3,177,3,0.003432494279176201
QUEENS,2013,23,830,0,239,0,0.0
STATEN ISLAND,2013,23,202,0,62,0,0.0
BOROUGH_NOT_SPECIFIED,2013,24,940,3,269,3,0.0031914893617021275
BRONX,2013,24,419,3,126,3,0.007159904534606206
BROOKLYN,2013,24,982,3,343,3,0.003054989816700611
MANHATTAN,2013,24,872,0,183,0,0.0
QUEENS,2013,24,764,1,193,1,0.0013089005235602095
STATEN ISLAND,2013,24,196,0,48,0,0.0
BOROUGH_NOT_SPECIFIED,2013,25,994,3,293,3,0.0030181086519114686
BRONX,2013,25,375,0,140,0,0.0
BROOKLYN,2013,25,1084,0,350,0,0.0
MANHATTAN,2013,25,871,0,159,0,0.0
QUEENS,2013,25,768,0,226,0,0.0
STATEN ISLAND,2013,25,231,0,60,0,0.0
BOROUGH_NOT_SPECIFIED,2013,26,933,3,217,4,0.003215434083601286
BRONX,2013,26,393,1,138,1,0.002544529262086514
BROOKLYN,2013,26,955,0,346,0,0.0
MANHATTAN,2013,26,909,1,145,1,0.0011001100110011
QUEENS,2013,26,772,0,233,0,0.0
STATEN ISLAND,2013,26,206,0,63,0,0.0
BOROUGH_NOT_SPECIFIED,2013,27,937,2,266,2,0.0021344717182497333
BRONX,2013,27,422,0,147,0,0.0
BROOKLYN,2013,27,939,2,348,2,0.002129925452609159
MANHATTAN,2013,27,715,1,143,1,0.0013986013986013986
QUEENS,2013,27,736,1,201,1,0.001358695652173913
STATEN ISLAND,2013,27,122,0,55,0,0.0
BOROUGH_NOT_SPECIFIED,2013,28,996,0,251,0,0.0
BRONX,2013,28,404,1,126,1,0.0024752475247524753
BROOKLYN,2013,28,901,1,279,1,0.0011098779134295228
MANHATTAN,2013,28,823,0,169,0,0.0
QUEENS,2013,28,746,1,202,1,0.0013404825737265416
STATEN ISLAND,2013,28,137,0,32,0,0.0
BOROUGH_NOT_SPECIFIED,2013,29,1014,1,266,1,9.861932938856016E-4
BRONX,2013,29,389,0,154,0,0.0
BROOKLYN,2013,29,921,0,337,0,0.0
MANHATTAN,2013,29,827,0,158,0,0.0
QUEENS,2013,29,838,1,231,1,0.0011933174224343676
STATEN ISLAND,2013,29,114,0,38,0,0.0
BOROUGH_NOT_SPECIFIED,2013,30,920,1,314,1,0.0010869565217391304
BRONX,2013,30,355,1,116,1,0.0028169014084507044
BROOKLYN,2013,30,851,3,358,3,0.0035252643948296123
MANHATTAN,2013,30,857,1,157,1,0.0011668611435239206
QUEENS,2013,30,775,3,232,3,0.003870967741935484
STATEN ISLAND,2013,30,99,0,21,0,0.0
BOROUGH_NOT_SPECIFIED,2013,31,944,1,259,1,0.001059322033898305
BRONX,2013,31,411,0,127,0,0.0
BROOKLYN,2013,31,884,0,313,0,0.0
MANHATTAN,2013,31,849,3,165,3,0.0035335689045936395
QUEENS,2013,31,738,3,221,3,0.0040650406504065045
STATEN ISLAND,2013,31,120,0,49,0,0.0
BOROUGH_NOT_SPECIFIED,2013,32,892,2,269,2,0.002242152466367713
BRONX,2013,32,359,0,103,0,0.0
BROOKLYN,2013,32,849,2,284,2,0.002355712603062426
MANHATTAN,2013,32,754,0,165,0,0.0
QUEENS,2013,32,725,2,216,3,0.002758620689655172
STATEN ISLAND,2013,32,119,1,24,1,0.008403361344537815
BOROUGH_NOT_SPECIFIED,2013,33,995,2,284,2,0.0020100502512562816
BRONX,2013,33,364,0,124,0,0.0
BROOKLYN,2013,33,877,4,337,4,0.004561003420752566
MANHATTAN,2013,33,857,1,143,1,0.0011668611435239206
QUEENS,2013,33,701,3,188,3,0.0042796005706134095
STATEN ISLAND,2013,33,122,0,50,0,0.0
BOROUGH_NOT_SPECIFIED,2013,34,886,3,253,3,0.003386004514672686
BRONX,2013,34,372,0,117,0,0.0
BROOKLYN,2013,34,887,2,320,2,0.002254791431792559
MANHATTAN,2013,34,796,2,158,2,0.002512562814070352
QUEENS,2013,34,701,1,221,2,0.0014265335235378032
STATEN ISLAND,2013,34,121,0,24,0,0.0
BOROUGH_NOT_SPECIFIED,2013,35,912,1,284,1,0.0010964912280701754
BRONX,2013,35,330,2,115,2,0.006060606060606061
BROOKLYN,2013,35,913,2,332,2,0.002190580503833516
MANHATTAN,2013,35,744,0,148,0,0.0
QUEENS,2013,35,645,0,194,0,0.0
STATEN ISLAND,2013,35,96,0,23,0,0.0
BOROUGH_NOT_SPECIFIED,2013,36,931,1,280,1,0.0010741138560687433
BRONX,2013,36,353,1,125,1,0.0028328611898017
BROOKLYN,2013,36,847,0,343,0,0.0
MANHATTAN,2013,36,765,1,169,1,0.00130718954248366
QUEENS,2013,36,686,2,228,2,0.0029154518950437317
STATEN ISLAND,2013,36,105,0,15,0,0.0
BOROUGH_NOT_SPECIFIED,2013,37,962,3,248,3,0.0031185031185031187
BRONX,2013,37,396,0,133,0,0.0
BROOKLYN,2013,37,982,1,366,1,0.0010183299389002036
MANHATTAN,2013,37,913,0,155,0,0.0
QUEENS,2013,37,791,3,231,4,0.0037926675094816687
STATEN ISLAND,2013,37,133,0,29,0,0.0
BOROUGH_NOT_SPECIFIED,2013,38,974,0,305,0,0.0
BRONX,2013,38,412,1,138,1,0.0024271844660194173
BROOKLYN,2013,38,883,2,321,2,0.0022650056625141564
MANHATTAN,2013,38,857,0,177,0,0.0
QUEENS,2013,38,808,2,242,2,0.0024752475247524753
STATEN ISLAND,2013,38,131,0,29,0,0.0
BOROUGH_NOT_SPECIFIED,2013,39,958,4,259,4,0.0041753653444676405
BRONX,2013,39,398,0,122,0,0.0
BROOKLYN,2013,39,816,1,279,1,0.0012254901960784314
MANHATTAN,2013,39,829,0,154,0,0.0
QUEENS,2013,39,777,3,223,3,0.003861003861003861
STATEN ISLAND,2013,39,158,0,46,0,0.0
BOROUGH_NOT_SPECIFIED,2013,40,954,2,263,2,0.0020964360587002098
BRONX,2013,40,372,1,128,1,0.002688172043010753
BROOKLYN,2013,40,924,0,317,0,0.0
MANHATTAN,2013,40,840,0,180,0,0.0
QUEENS,2013,40,787,2,178,2,0.0025412960609911056
STATEN ISLAND,2013,40,137,0,40,0,0.0
BOROUGH_NOT_SPECIFIED,2013,41,974,2,253,2,0.002053388090349076
BRONX,2013,41,333,1,113,1,0.003003003003003003
BROOKLYN,2013,41,905,2,282,2,0.0022099447513812156
MANHATTAN,2013,41,837,0,133,0,0.0
QUEENS,2013,41,778,1,208,1,0.0012853470437017994
STATEN ISLAND,2013,41,131,0,31,0,0.0
BOROUGH_NOT_SPECIFIED,2013,42,919,0,270,0,0.0
BRONX,2013,42,381,0,130,0,0.0
BROOKLYN,2013,42,870,3,296,3,0.0034482758620689655
MANHATTAN,2013,42,807,1,150,1,0.0012391573729863693
QUEENS,2013,42,722,0,198,0,0.0
STATEN ISLAND,2013,42,119,0,25,0,0.0
BOROUGH_NOT_SPECIFIED,2013,43,1004,1,294,1,9.9601593625498E-4
BRONX,2013,43,356,1,129,1,0.0028089887640449437
BROOKLYN,2013,43,944,2,299,2,0.00211864406779661
MANHATTAN,2013,43,844,0,177,0,0.0
QUEENS,2013,43,843,0,260,0,0.0
STATEN ISLAND,2013,43,140,0,37,0,0.0
BOROUGH_NOT_SPECIFIED,2013,44,1005,1,308,1,9.950248756218905E-4
BRONX,2013,44,332,2,104,2,0.006024096385542169
BROOKLYN,2013,44,906,2,337,2,0.002207505518763797
MANHATTAN,2013,44,859,0,144,0,0.0
QUEENS,2013,44,804,1,202,1,0.0012437810945273632
STATEN ISLAND,2013,44,162,0,62,0,0.0
BOROUGH_NOT_SPECIFIED,2013,45,995,2,232,3,0.0020100502512562816
BRONX,2013,45,367,3,113,3,0.008174386920980926
BROOKLYN,2013,45,954,0,284,0,0.0
MANHATTAN,2013,45,855,1,129,1,0.0011695906432748538
QUEENS,2013,45,843,1,212,1,0.0011862396204033216
STATEN ISLAND,2013,45,162,0,42,0,0.0
