Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BRONX,2013,48,377,0,216,0,0.0
BROOKLYN,2013,48,952,2,626,4,0.0021008403361344537
MANHATTAN,2013,48,790,3,306,6,0.0037974683544303796
QUEENS,2013,48,834,2,408,4,0.002398081534772182
STATEN ISLAND,2013,48,125,0,56,0,0.0
BOROUGH_NOT_SPECIFIED,2013,49,957,4,570,8,0.0041797283176593526
BRONX,2013,49,356,0,192,0,0.0
BROOKLYN,2013,49,921,0,630,0,0.0
MANHATTAN,2013,49,843,0,280,0,0.0
QUEENS,2013,49,765,1,428,2,0.00130718954248366
STATEN ISLAND,2013,49,135,0,68,0,0.0
BOROUGH_NOT_SPECIFIED,2013,50,987,3,478,6,0.00303951367781155
BRONX,2013,50,391,0,234,0,0.0
BROOKLYN,2013,50,950,1,538,2,0.0010526315789473684
MANHATTAN,2013,50,877,0,294,0,0.0
QUEENS,2013,50,881,1,374,2,0.0011350737797956867
